point_id,msp_street_heading_count,msp_street_complete,msp_naip_present,seattle_street_heading_count,seattle_street_complete,seattle_naip_present,in_final_lock,drop_reasons
0,4,True,True,4,True,True,True,
1,4,True,True,4,True,True,True,
2,4,True,True,4,True,True,True,
3,4,True,True,4,True,True,True,
4,4,True,True,4,True,True,True,
5,4,True,True,4,True,True,True,
6,4,True,True,4,True,True,True,
7,4,True,True,4,True,True,True,
8,4,True,True,4,True,True,True,
9,4,True,True,4,True,True,True,
10,4,True,True,4,True,True,True,
11,4,True,True,4,True,True,True,
12,4,True,True,4,True,True,True,
13,4,True,True,4,True,True,True,
14,4,True,True,4,True,True,True,
15,4,True,True,4,True,True,True,
16,4,True,True,4,True,True,True,
17,4,True,True,4,True,True,True,
18,4,True,True,4,True,True,True,
19,4,True,True,4,True,True,True,
20,4,True,True,4,True,True,True,
21,4,True,True,4,True,True,True,
22,4,True,True,4,True,True,True,
23,4,True,True,4,True,True,True,
24,4,True,True,4,True,True,True,
25,4,True,True,4,True,True,True,
26,4,True,True,4,True,True,True,
27,4,True,True,4,True,True,True,
28,4,True,True,4,True,True,True,
29,4,True,True,4,True,True,True,
30,4,True,True,4,True,True,True,
31,4,True,True,4,True,True,True,
32,4,True,True,4,True,True,True,
33,4,True,True,4,True,True,True,
34,4,True,True,4,True,True,True,
35,4,True,True,4,True,True,True,
36,4,True,True,4,True,True,True,
37,4,True,True,4,True,True,True,
38,4,True,True,4,True,True,True,
39,4,True,True,4,True,True,True,
40,4,True,True,4,True,True,True,
41,4,True,True,4,True,True,True,
42,4,True,True,4,True,True,True,
43,4,True,True,4,True,True,True,
44,4,True,True,4,True,True,True,
45,4,True,True,4,True,True,True,
46,4,True,True,4,True,True,True,
47,4,True,True,4,True,True,True,
48,4,True,True,4,True,True,True,
49,4,True,True,4,True,True,True,
50,4,True,True,4,True,True,True,
51,4,True,True,4,True,True,True,
52,4,True,True,4,True,True,True,
53,4,True,True,4,True,True,True,
54,4,True,True,4,True,True,True,
55,4,True,True,4,True,True,True,
56,4,True,True,4,True,True,True,
57,4,True,True,4,True,True,True,
58,4,True,True,4,True,True,True,
59,4,True,True,4,True,True,True,
60,4,True,True,4,True,True,True,
61,4,True,True,4,True,True,True,
62,4,True,True,4,True,True,True,
63,4,True,True,4,True,True,True,
64,4,True,True,4,True,True,True,
65,4,True,True,4,True,True,True,
66,4,True,True,4,True,True,True,
67,4,True,True,4,True,True,True,
68,4,True,True,4,True,True,True,
69,4,True,True,4,True,True,True,
70,4,True,True,4,True,True,True,
71,4,True,True,4,True,True,True,
72,4,True,True,4,True,True,True,
73,4,True,True,4,True,True,True,
74,4,True,True,4,True,True,True,
75,4,True,True,4,True,True,True,
76,4,True,True,4,True,True,True,
77,4,True,True,4,True,True,True,
78,4,True,True,4,True,True,True,
