point_id,blockgroup_geoid,tract_geoid,NatWalkInd,D2A_Ranked,D2B_Ranked,D3B_Ranked,D4A_Ranked,D1A,D1B,D2B_E8MIX,D3A,D3B,D3APO,D4A,D4C,D4D
PGH_0,420034324003,42003432400,18.0,18.0,12.0,20.0,19.0,5.409443918611509,10.472867970360875,0.6505480216508548,28.959129361922344,273.19883248144913,24.576603288458944,166.3,15.33,113.162337259
PGH_1,420034324002,42003432400,17.0,12.0,16.0,20.0,17.0,13.25442506242572,20.601721459829296,0.8397372137908063,42.64040505000675,265.60793801707496,38.316386857954164,352.71,15.33,239.487689084
PGH_2,420034324003,42003432400,18.0,18.0,12.0,20.0,19.0,5.409443918611509,10.472867970360875,0.6505480216508548,28.959129361922344,273.19883248144913,24.576603288458944,166.3,15.33,113.162337259
PGH_3,420034324002,42003432400,17.0,12.0,16.0,20.0,17.0,13.25442506242572,20.601721459829296,0.8397372137908063,42.64040505000675,265.60793801707496,38.316386857954164,352.71,15.33,239.487689084
PGH_4,420034324003,42003432400,18.0,18.0,12.0,20.0,19.0,5.409443918611509,10.472867970360875,0.6505480216508548,28.959129361922344,273.19883248144913,24.576603288458944,166.3,15.33,113.162337259
PGH_5,420034324002,42003432400,17.0,12.0,16.0,20.0,17.0,13.25442506242572,20.601721459829296,0.8397372137908063,42.64040505000675,265.60793801707496,38.316386857954164,352.71,15.33,239.487689084
PGH_6,420034324002,42003432400,17.0,12.0,16.0,20.0,17.0,13.25442506242572,20.601721459829296,0.8397372137908063,42.64040505000675,265.60793801707496,38.316386857954164,352.71,15.33,239.487689084
PGH_7,420034324002,42003432400,17.0,12.0,16.0,20.0,17.0,13.25442506242572,20.601721459829296,0.8397372137908063,42.64040505000675,265.60793801707496,38.316386857954164,352.71,15.33,239.487689084
PGH_8,420034324003,42003432400,18.0,18.0,12.0,20.0,19.0,5.409443918611509,10.472867970360875,0.6505480216508548,28.959129361922344,273.19883248144913,24.576603288458944,166.3,15.33,113.162337259
PGH_9,420034324002,42003432400,17.0,12.0,16.0,20.0,17.0,13.25442506242572,20.601721459829296,0.8397372137908063,42.64040505000675,265.60793801707496,38.316386857954164,352.71,15.33,239.487689084
PGH_10,420034324003,42003432400,18.0,18.0,12.0,20.0,19.0,5.409443918611509,10.472867970360875,0.6505480216508548,28.959129361922344,273.19883248144913,24.576603288458944,166.3,15.33,113.162337259
PGH_11,420034315003,42003431500,17.5,15.0,14.0,19.0,19.0,13.334504474735377,17.66133483526898,0.7063822080474411,26.299798452474274,191.33080097141325,19.00264235860422,234.7,14.67,182.986038872
PGH_12,420034315001,42003431500,15.5,9.0,18.0,16.0,17.0,8.33635804190954,14.814899148764953,0.91147576212081,27.6276423959713,121.99473994862089,21.29674477283466,356.74,11.33,172.710284096
PGH_13,420034315001,42003431500,15.5,9.0,18.0,16.0,17.0,8.33635804190954,14.814899148764953,0.91147576212081,27.6276423959713,121.99473994862089,21.29674477283466,356.74,11.33,172.710284096
PGH_14,420034315003,42003431500,17.5,15.0,14.0,19.0,19.0,13.334504474735377,17.66133483526898,0.7063822080474411,26.299798452474274,191.33080097141325,19.00264235860422,234.7,14.67,182.986038872
PGH_15,420034315001,42003431500,15.5,9.0,18.0,16.0,17.0,8.33635804190954,14.814899148764953,0.91147576212081,27.6276423959713,121.99473994862089,21.29674477283466,356.74,11.33,172.710284096
PGH_16,420034315003,42003431500,17.5,15.0,14.0,19.0,19.0,13.334504474735377,17.66133483526898,0.7063822080474411,26.299798452474274,191.33080097141325,19.00264235860422,234.7,14.67,182.986038872
PGH_17,420034315001,42003431500,15.5,9.0,18.0,16.0,17.0,8.33635804190954,14.814899148764953,0.91147576212081,27.6276423959713,121.99473994862089,21.29674477283466,356.74,11.33,172.710284096
PGH_18,420034315001,42003431500,15.5,9.0,18.0,16.0,17.0,8.33635804190954,14.814899148764953,0.91147576212081,27.6276423959713,121.99473994862089,21.29674477283466,356.74,11.33,172.710284096
PGH_19,420034315003,42003431500,17.5,15.0,14.0,19.0,19.0,13.334504474735377,17.66133483526898,0.7063822080474411,26.299798452474274,191.33080097141325,19.00264235860422,234.7,14.67,182.986038872
PGH_20,420034315001,42003431500,15.5,9.0,18.0,16.0,17.0,8.33635804190954,14.814899148764953,0.91147576212081,27.6276423959713,121.99473994862089,21.29674477283466,356.74,11.33,172.710284096
