point_id,tract_geoid,LPA_CrudePrev,LPA_Crude95CI,OBESITY_CrudePrev,OBESITY_Crude95CI,TotalPopulation
PGH_0,42003432400,,,,,2579.0
PGH_1,42003432400,,,,,2579.0
PGH_2,42003432400,,,,,2579.0
PGH_3,42003432400,,,,,2579.0
PGH_4,42003432400,,,,,2579.0
PGH_5,42003432400,,,,,2579.0
PGH_6,42003432400,,,,,2579.0
PGH_7,42003432400,,,,,2579.0
PGH_8,42003432400,,,,,2579.0
PGH_9,42003432400,,,,,2579.0
PGH_10,42003432400,,,,,2579.0
PGH_11,42003431500,,,,,3165.0
PGH_12,42003431500,,,,,3165.0
PGH_13,42003431500,,,,,3165.0
PGH_14,42003431500,,,,,3165.0
PGH_15,42003431500,,,,,3165.0
PGH_16,42003431500,,,,,3165.0
PGH_17,42003431500,,,,,3165.0
PGH_18,42003431500,,,,,3165.0
PGH_19,42003431500,,,,,3165.0
PGH_20,42003431500,,,,,3165.0
PGH_21,42003431500,,,,,3165.0
PGH_22,42003431500,,,,,3165.0
PGH_23,42003431500,,,,,3165.0
PGH_24,42003431500,,,,,3165.0
PGH_25,42003431500,,,,,3165.0
PGH_26,42003431500,,,,,3165.0
PGH_27,42003431500,,,,,3165.0
PGH_28,42003431500,,,,,3165.0
PGH_29,42003429100,,,,,2607.0
PGH_30,42003462100,,,,,2524.0
PGH_31,42003462100,,,,,2524.0
PGH_32,42003462100,,,,,2524.0
PGH_33,42003431100,,,,,3253.0
PGH_34,42003431100,,,,,3253.0
PGH_35,42003431100,,,,,3253.0
PGH_36,42003431100,,,,,3253.0
PGH_37,42003431100,,,,,3253.0
PGH_38,42003431100,,,,,3253.0
PGH_39,42003431100,,,,,3253.0
PGH_40,42003431100,,,,,3253.0
PGH_41,42003431100,,,,,3253.0
PGH_42,42003431100,,,,,3253.0
PGH_43,42003431100,,,,,3253.0
PGH_44,42003431100,,,,,3253.0
PGH_45,42003431100,,,,,3253.0
PGH_46,42003431100,,,,,3253.0
PGH_47,42003431100,,,,,3253.0
PGH_48,42003431100,,,,,3253.0
PGH_49,42003431100,,,,,3253.0
PGH_50,42003431100,,,,,3253.0
PGH_51,42003431100,,,,,3253.0
PGH_52,42003431100,,,,,3253.0
PGH_53,42003431100,,,,,3253.0
PGH_54,42003431100,,,,,3253.0
PGH_55,42003431100,,,,,3253.0
PGH_56,42003431100,,,,,3253.0
PGH_57,42003431100,,,,,3253.0
PGH_58,42003431100,,,,,3253.0
PGH_59,42003431100,,,,,3253.0
PGH_60,42003431100,,,,,3253.0
PGH_61,42003431500,,,,,3165.0
PGH_62,42003431100,,,,,3253.0
PGH_63,42003431100,,,,,3253.0
PGH_64,42003431500,,,,,3165.0
PGH_65,42003431500,,,,,3165.0
PGH_66,42003431100,,,,,3253.0
PGH_67,42003431100,,,,,3253.0
PGH_68,42003431500,,,,,3165.0
PGH_69,42003431500,,,,,3165.0
PGH_70,42003431500,,,,,3165.0
PGH_71,42003431500,,,,,3165.0
PGH_72,42003431500,,,,,3165.0
PGH_73,42003431500,,,,,3165.0
PGH_74,42003431500,,,,,3165.0
PGH_75,42003431500,,,,,3165.0
PGH_76,42003431500,,,,,3165.0
PGH_77,42003431500,,,,,3165.0
PGH_78,42003431500,,,,,3165.0
PGH_79,42003431500,,,,,3165.0
PGH_80,42003431500,,,,,3165.0
